iso_time,t_mono,armed,flight_mode,lat_deg,lon_deg,alt_m,rel_alt_m,roll_deg,pitch_deg,yaw_deg,groundspeed_ms,heading_deg,battery_v,battery_pct
2026-07-10T23:41:17,533704.732779193,,,,,,,0.06950103012650109,0.05925862785753807,-4.902755463125227,,,,
2026-07-10T23:41:17,533704.733284932,,,-35.363262,149.1652371,584.09,0.003,0.06950103012650109,0.05925862785753807,-4.902755463125227,,,,
2026-07-10T23:41:17,533704.733655338,,,-35.363262,149.1652371,584.09,0.003,0.06950103012650109,0.05925862785753807,-4.902755463125227,0.014126208610832691,355.0,,
2026-07-10T23:41:17,533704.734439443,,,-35.363262,149.1652371,584.09,0.003,0.06950103012650109,0.05925862785753807,-4.902755463125227,0.014126208610832691,355.0,12.6,100.0
2026-07-10T23:41:17,533704.815790929,,,-35.363262,149.1652371,584.09,0.003,0.07098188050560465,0.061020936725320364,-4.91184857934463,0.014126208610832691,355.0,12.6,100.0
2026-07-10T23:41:17,533704.816318159,,,-35.363262,149.1652371,584.09,0.003,0.07098188050560465,0.061020936725320364,-4.91184857934463,0.014126208610832691,355.0,12.6,100.0
2026-07-10T23:41:17,533704.816728053,,,-35.363262,149.1652371,584.09,0.003,0.07098188050560465,0.061020936725320364,-4.91184857934463,0.008714021183550358,355.0,12.6,100.0
2026-07-10T23:41:17,533704.817137791,,,-35.363262,149.1652371,584.09,0.003,0.07098188050560465,0.061020936725320364,-4.91184857934463,0.008714021183550358,355.0,12.6,100.0
2026-07-10T23:41:17,533704.898850487,,,-35.363262,149.1652371,584.09,0.003,0.0730679430080882,0.06338333507460514,-4.923135040061252,0.008714021183550358,355.0,12.6,100.0
2026-07-10T23:41:17,533704.89935134,,,-35.363262,149.1652371,584.09,0.003,0.0730679430080882,0.06338333507460514,-4.923135040061252,0.008714021183550358,355.0,12.6,100.0
2026-07-10T23:41:17,533704.899778509,,,-35.363262,149.1652371,584.09,0.003,0.0730679430080882,0.06338333507460514,-4.923135040061252,0.004109496716409922,355.0,12.6,100.0
2026-07-10T23:41:17,533704.900274119,,,-35.363262,149.1652371,584.09,0.003,0.0730679430080882,0.06338333507460514,-4.923135040061252,0.004109496716409922,355.0,12.6,100.0
2026-07-10T23:41:17,533704.982350267,,,-35.363262,149.1652371,584.09,0.003,0.0762575546390982,0.0664609422753975,-4.9325367954537755,0.004109496716409922,355.0,12.6,100.0
2026-07-10T23:41:17,533704.982910855,,,-35.363262,149.1652371,584.09,0.003,0.0762575546390982,0.0664609422753975,-4.9325367954537755,0.004109496716409922,355.0,12.6,100.0
2026-07-10T23:41:17,533704.98338093,,,-35.363262,149.1652371,584.09,0.003,0.0762575546390982,0.0664609422753975,-4.9325367954537755,0.0006851833313703537,355.0,12.6,100.0
2026-07-10T23:41:17,533704.983854041,,,-35.363262,149.1652371,584.09,0.003,0.0762575546390982,0.0664609422753975,-4.9325367954537755,0.0006851833313703537,355.0,12.6,100.0
2026-07-10T23:41:17,533704.987857813,True,GUIDED,-35.363262,149.1652371,584.09,0.003,0.0762575546390982,0.0664609422753975,-4.9325367954537755,0.0006851833313703537,355.0,12.6,100.0
2026-07-10T23:41:17,533705.065464826,True,GUIDED,-35.363262,149.1652371,584.09,0.003,0.07940573823794517,0.06963021008124293,-4.9438010580555956,0.0006851833313703537,355.0,12.6,100.0
2026-07-10T23:41:17,533705.065898869,True,GUIDED,-35.363262,149.1652371,584.09,0.003,0.07940573823794517,0.06963021008124293,-4.9438010580555956,0.0006851833313703537,355.0,12.6,100.0
2026-07-10T23:41:17,533705.066269089,True,GUIDED,-35.363262,149.1652371,584.09,0.003,0.07940573823794517,0.06963021008124293,-4.9438010580555956,0.0017951799090951681,355.0,12.6,100.0
2026-07-10T23:41:17,533705.066654232,True,GUIDED,-35.363262,149.1652371,584.09,0.003,0.07940573823794517,0.06963021008124293,-4.9438010580555956,0.0017951799090951681,355.0,12.6,100.0
2026-07-10T23:41:17,533705.148522764,True,GUIDED,-35.363262,149.1652371,584.09,0.003,0.08265768868534477,0.07293085897701192,-4.95377526867793,0.0017951799090951681,355.0,12.6,100.0
2026-07-10T23:41:17,533705.149060824,True,GUIDED,-35.363262,149.1652371,584.09,0.003,0.08265768868534477,0.07293085897701192,-4.95377526867793,0.0017951799090951681,355.0,12.6,100.0
2026-07-10T23:41:17,533705.149485745,True,GUIDED,-35.363262,149.1652371,584.09,0.003,0.08265768868534477,0.07293085897701192,-4.95377526867793,0.0032548473682254553,355.0,12.6,100.0
2026-07-10T23:41:17,533705.149908042,True,GUIDED,-35.363262,149.1652371,584.09,0.003,0.08265768868534477,0.07293085897701192,-4.95377526867793,0.0032548473682254553,355.0,12.6,100.0
2026-07-10T23:41:17,533705.231595194,True,GUIDED,-35.363262,149.1652371,584.09,0.003,0.08621571698492556,0.0766022123879194,-4.96413538498837,0.0032548473682254553,355.0,12.6,100.0
2026-07-10T23:41:17,533705.231993705,True,GUIDED,-35.363262,149.1652371,584.09,0.003,0.08621571698492556,0.0766022123879194,-4.96413538498837,0.0032548473682254553,355.0,12.6,100.0
2026-07-10T23:41:17,533705.232405299,True,GUIDED,-35.363262,149.1652371,584.09,0.003,0.08621571698492556,0.0766022123879194,-4.96413538498837,0.0038390164263546467,355.0,12.6,100.0
2026-07-10T23:41:17,533705.232747296,True,GUIDED,-35.363262,149.1652371,584.09,0.003,0.08621571698492556,0.0766022123879194,-4.96413538498837,0.0038390164263546467,355.0,12.6,100.0
2026-07-10T23:41:17,533705.3147172,True,GUIDED,-35.363262,149.1652371,584.09,0.003,0.08989197292419236,0.08023889458466112,-4.974556546114517,0.0038390164263546467,355.0,12.6,100.0
